hjd,camera,mag,mag_err,flux,flux_err
2456907.72623,bb,9.943,0.02,404.476,7.442
2457061.10376,bb,10.023,0.02,375.746,6.914
2457069.09251,bb,10.096,0.02,351.326,6.464
2457040.12131,bb,9.927,0.02,410.224,7.548
2457483.93692,bb,9.355,0.02,695.093,12.79
2456912.7348,bb,10.04,0.02,369.717,6.803
2456785.94769,bb,10.028,0.02,373.833,6.879
2456884.7944,bb,9.978,0.02,391.505,7.204
2457203.94038,bb,9.969,0.02,394.735,7.263
2457562.93323,bb,9.679,0.02,515.665,9.488
2456443.99115,bb,9.733,0.02,490.745,9.03
2456915.7146,bb,9.899,0.02,420.886,7.744
2457577.90396,bb,9.672,0.02,518.835,9.547
2457437.05174,bb,9.747,0.02,484.51,8.915
2457552.91333,bb,9.635,0.02,536.714,9.876
2456892.77288,bb,9.858,0.02,437.266,8.046
2457984.78776,bb,9.848,0.02,441.417,8.122
2456778.08857,bb,10.04,0.02,369.894,6.806
2457466.99974,bb,9.75,0.02,482.964,8.887
2456731.06416,bb,10.172,0.02,327.519,6.026
2457626.76799,bb,9.995,0.02,385.344,7.09
2457574.92851,bb,9.657,0.02,526.189,9.682
2456470.86029,bb,9.966,0.02,395.815,7.283
2457103.02047,bb,9.972,0.02,393.758,7.245
2456387.09651,bb,9.912,0.02,415.889,7.652
2456434.92194,bb,9.751,0.02,482.7,8.882
2457155.89366,bb,10.016,0.02,378.178,6.958
2456882.78983,bb,9.99,0.02,387.181,7.124
2457878.90509,bb,9.708,0.02,501.851,9.234
2456863.8315,bb,10.139,0.02,337.415,6.208
2457083.0789,bb,10.297,0.02,291.852,5.37
2457237.84585,bb,9.912,0.02,415.978,7.654
2457566.82021,bb,9.706,0.02,502.941,9.254
2457446.05095,bb,9.672,0.02,519.124,9.552
2457808.11428,bb,9.664,0.02,523.006,9.623
2456855.87914,bb,10.207,0.02,317.088,5.834
2457481.92088,bb,9.369,0.02,686.293,12.628
2457490.89645,bb,9.494,0.02,611.547,11.252
2457131.98084,bb,9.896,0.02,422.24,7.769
2457494.8859,bb,9.456,0.02,633.424,11.655
2457852.91115,bb,9.722,0.02,495.599,9.119
2457527.90605,bb,9.697,0.02,507.3,9.334
2457763.16519,bb,9.845,0.02,442.299,8.138
2456890.77456,bb,9.974,0.02,393.082,7.233
2457630.75735,bb,9.894,0.02,423.094,7.785
2457496.04624,bb,9.415,0.02,657.762,12.103
2457581.90852,bb,9.683,0.02,513.572,9.45
2457505.98911,bb,9.601,0.02,553.827,10.19
2457469.95562,bb,9.598,0.02,555.563,10.222
2457222.82381,bb,10.049,0.02,366.677,6.747
2457546.95722,bb,9.66,0.02,524.843,9.657
2457425.13401,bb,9.88,0.02,428.443,7.883
2457487.96061,bb,9.446,0.02,638.778,11.754
2457416.09581,bb,9.879,0.02,428.99,7.893
2457113.93263,bb,9.99,0.02,387.121,7.123
2457131.0183,bb,9.871,0.02,432.009,7.949
2456479.89244,bb,10.019,0.02,376.867,6.934
2457111.9368,bb,9.812,0.02,456.116,8.393
2457930.93262,bb,9.657,0.02,526.383,9.685
2457099.08022,bb,10.022,0.02,376.03,6.919
2457165.83412,bb,9.989,0.02,387.562,7.131
2457607.82193,bb,9.732,0.02,490.968,9.034
2457538.87564,bb,9.664,0.02,522.67,9.617
2457167.91883,bb,9.905,0.02,418.826,7.706
2457245.81571,bb,9.75,0.02,482.847,8.884
2457138.86651,bb,9.932,0.02,408.508,7.517
2457208.91421,bb,10.051,0.02,365.916,6.733
2457558.94823,bb,9.738,0.02,488.381,8.986
2457044.12706,bb,9.983,0.02,389.672,7.17
2457827.99546,bb,9.753,0.02,481.645,8.862
2457959.74782,bb,9.675,0.02,517.506,9.522
2457883.04592,bb,9.69,0.02,510.317,9.39
2456864.82974,bb,10.201,0.02,318.71,5.864
2457037.14215,bb,9.884,0.02,426.996,7.857
2457940.8027,bb,9.638,0.02,535.611,9.855
2457464.97043,bb,9.552,0.02,579.5,10.663
2457775.1199,bb,9.79,0.02,465.313,8.562
2456783.81818,bb,10.045,0.02,367.921,6.77
2457144.91666,bb,10.074,0.02,358.351,6.594
2457180.99618,bb,9.87,0.02,432.446,7.957
2457079.02399,bb,10.224,0.02,312.165,5.744
2457538.03033,bb,9.734,0.02,490.133,9.018
2456914.71807,bb,10.014,0.02,378.679,6.968
2457989.77976,bb,9.96,0.02,397.886,7.321
2457074.07604,bb,10.175,0.02,326.464,6.007
2457478.04096,bb,9.45,0.02,636.631,11.714
2457105.98855,bb,10.092,0.02,352.588,6.488
2457863.10863,bb,9.804,0.02,459.343,8.452
2457973.8267,bb,9.706,0.02,502.746,9.251
2457917.82985,bb,9.658,0.02,525.857,9.676
2457878.08295,bb,9.798,0.02,462.188,8.504
2456913.73028,bb,9.932,0.02,408.323,7.513
2457046.1197,bb,9.946,0.02,403.234,7.42
2457831.00406,bb,9.694,0.02,508.387,9.354
2457576.91803,bb,9.623,0.02,542.711,9.986
2457442.05813,bb,9.705,0.02,503.574,9.266
2457834.08806,bb,9.688,0.02,511.332,9.409
2457926.96023,bb,9.661,0.02,524.052,9.643
2456888.77497,bb,10.053,0.02,365.206,6.72
2456734.10836,bb,10.212,0.02,315.576,5.807
2456900.75961,bb,9.832,0.02,448.003,8.243
